estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2023-03-15,False,Invitación a cuando menos tres personas,2024,2274191.76,2.27,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=187471&tipoArchivo=1
TABASCO,"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE CENTLA, TABASCO","COMERCIO Y CONSTRUCCION DE TABASCO, S.A. DE C.V.",CCT1808139U3,Definitivo,2025-12-12,2024-12-10,False,Invitación a cuando menos tres personas,2024,2066427.17,2.07,False,https://drive.google.com/drive/folders/1n5k4-6T5E5JkvJqnmeCCE6KyHgWHOH79?usp=drive_link
QUINTANA ROO,ROO - MUNICIPIO DE TULUM,"094 COMERCIALIZADORA DELTA, S. A. DE C. V.",NCC220721SG3,Definitivo,2026-04-24,2025-07-11,False,Licitación pública,2025,1995770.89,2.0,True,https://tulum.gob.mx/Transparenciaftp/2025/Recursos%20Materiales/XXVIII/3er/FALLOS%20TESTADOS/MT-OM-RMS-RF-ZOFEMAT70--ADQ-LPN-040-2025.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,1677001.56,1.68,True,"https://drive.google.com/file/d/14IkeWZ3q-b5ikysVtvRcGWGq8GNtjIrK/view?usp=drive_link,"
TABASCO,"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE CENTLA, TABASCO","CONSTRUAGREGADOS HOPELCHEN, S.A. DE C.V.",CHO170605TF6,Definitivo,2026-02-20,2024-05-02,False,Invitación a cuando menos tres personas,2024,1499996.0,1.5,True,https://drive.google.com/file/d/1RQRzgIMwj7uDQ-DunbcuZKF6NB3V8Cil/view?usp=sharing
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-04-30,False,Invitación a cuando menos tres personas,2025,1299780.0,1.3,True,https://drive.google.com/file/d/1Gg_tbu16NxpJQIaUrXIOpO4XkP1jMN1O/view?usp=sharing
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,1259250.0,1.26,True,"https://drive.google.com/file/d/1V67nOkB2gtJ8dEHvbJXszp3TWqfH0yKf/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,ALERTA MARKETING INTEGRAL S.A. DE C.V.,AMI181114A65,Definitivo,2026-04-30,2024-03-13,False,Adjudicación directa,2025,1116384.0,1.12,False,"https://drive.google.com/file/d/11UPCo1v4aOgccXB-QQDsDAvqzvg8rW1L/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-09-03,False,Adjudicación directa,2025,1090400.0,1.09,True,"https://drive.google.com/file/d/1h7ljWPEppNSy_YKfZrKmn7oLOZxsOHXT/view?usp=drive_link,"
TABASCO,"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE JALAPA, TABASCO",COMERCIO Y CONSTRUCCION DE TABASCO SA DE CV,CCT1808139U3,Definitivo,2025-12-12,2024-12-20,False,Invitación a cuando menos tres personas,2024,1087576.82,1.09,False,https://transparencia.jalapatabasco.gob.mx/documentos/pnt/MDJ-MJAL-OP-DOOTSM-HID-004-2024.pdf
TABASCO,TAB - SECRETARIA DE ADMINISTRACION E INNOVACION GUBERNAMENTAL (SAIG) ** EXTINTO ACDO/001/2025,"Construagregados Hopelchen, S.A. de C.V.",CHO170605TF6,Definitivo,2026-02-20,2024-07-18,False,Invitación a cuando menos tres personas,2024,998760.0,1.0,True,https://transparencia.tabasco.gob.mx/media/SA/2024/3/711309.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,972892.0,0.97,True,"https://drive.google.com/file/d/1V67nOkB2gtJ8dEHvbJXszp3TWqfH0yKf/view?usp=drive_link,"
