institucion,n_contratos,mad,banda_nigrini,chi2,p_value
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL ENSENADA, S.A. DE C.V.",308,0.0155,NO CONFORME,10.1,0.2577921814208914
"EL COLEGIO DE LA FRONTERA NORTE, A.C.",577,0.0154,NO CONFORME,16.7,0.033812564362674866
"AEROPUERTO INTERNACIONAL FELIPE ÁNGELES, S.A DE C.V.",300,0.0153,NO CONFORME,9.8,0.279904321566621
"FONATUR INFRAESTRUCTURA, S.A. DE C.V.",377,0.0151,NO CONFORME,13.9,0.0845298766225069
INSTITUTO NACIONAL DE MEDICINA GENÓMICA,620,0.0151,NO CONFORME,16.2,0.03946439335482138
INSTITUTO NACIONAL DE PSIQUIATRÍA RAMÓN DE LA FUENTE MUÑIZ,1379,0.0146,marginal,33.1,5.866248203605276e-05
COORDINACION NACIONAL DE BECAS PARA EL BIENESTAR BENITO JUAREZ,377,0.0142,marginal,7.6,0.4735874720336382
COLEGIO DE BACHILLERES,520,0.0138,marginal,9.9,0.2736994367752196
COMISIÓN NACIONAL DE SALUD MENTAL Y ADICCIONES,354,0.0138,marginal,13.7,0.09075318999424156
COMISION NACIONAL DE AREAS NATURALES PROTEGIDAS,389,0.0135,marginal,15.0,0.05948416468204736
INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA MANUEL VELASCO SUÁREZ,941,0.0131,marginal,16.3,0.03860091113752205
CENTRO NACIONAL DE CONTROL DE ENERGIA,618,0.0129,marginal,11.0,0.2031714643760952
CONSEJO NACIONAL DE FOMENTO EDUCATIVO,882,0.0129,marginal,16.7,0.03310927393717911
INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,406,0.0129,marginal,8.0,0.4306471966638255
"NACIONAL FINANCIERA, S.N.C.",518,0.0129,marginal,13.1,0.10809349689307209
INSTITUTO NACIONAL DE PEDIATRÍA,2084,0.0127,marginal,33.8,4.3800306997357176e-05
SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,499,0.0125,marginal,8.4,0.39202727965368583
SERVICIO GEOLOGICO MEXICANO,517,0.0123,marginal,10.5,0.23476310171739767
SECRETARIA DE EDUCACION PUBLICA,343,0.0122,marginal,7.2,0.5191720324098945
INSTITUTO DE SALUD PUBLICA DEL ESTADO DE GUANAJUATO,546,0.0121,marginal,10.5,0.23450184860977658
TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA,703,0.0118,aceptable,9.0,0.34296592607838655
COMISION NACIONAL DE LIBROS DE TEXTO GRATUITOS,1054,0.0113,aceptable,14.1,0.07968863007443133
"SECRETARÍA DE PLANEACIÓN, FINANZAS Y ADMINISTRACIÓN",384,0.0112,aceptable,5.9,0.6593886209089075
FISCALÍA GENERAL DE LA REPÚBLICA,915,0.0111,aceptable,15.2,0.05549070363573865
INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSÍO VILLEGAS,2441,0.0108,aceptable,31.7,0.00010402735992323893
SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,2477,0.0097,aceptable,33.2,5.566185381506005e-05
"BANCO NACIONAL DEL EJERCITO, FUERZA AEREA Y ARMADA, S.N.C.",526,0.0095,aceptable,7.6,0.471415904628747
"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, S.A. DE C.V.",395,0.0094,aceptable,5.7,0.6796188005209307
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,2813,0.0087,aceptable,25.5,0.001258533355485181
"EXPORTADORA DE SAL, S.A. DE C.V.",992,0.0086,aceptable,9.4,0.3086182192508382
INSTITUTO DE SALUD PARA EL BIENESTAR,583,0.0085,aceptable,7.2,0.518034435801999
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",41405,0.0084,aceptable,380.1,3.450585472145145e-77
SECRETARÍA DE EDUCACIÓN,562,0.0082,aceptable,5.5,0.6982759547615233
COMISION NACIONAL DEL AGUA,2831,0.0081,aceptable,29.6,0.00024629515970165343
TALLERES GRAFICOS DE MEXICO,977,0.0079,aceptable,7.9,0.44629125266143627
INSTITUTO NACIONAL DE CANCEROLOGÍA,1856,0.0078,aceptable,14.8,0.06387234151809185
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,16170,0.0075,aceptable,125.0,3.125400399293925e-23
SERVICIO DE ADMINISTRACION TRIBUTARIA,950,0.0075,aceptable,5.5,0.7017959919855751
"IMPRESORA Y ENCUADERNADORA PROGRESO, S.A. DE C.V.",1477,0.0074,aceptable,9.8,0.2820947762517579
"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",1011,0.0067,aceptable,6.9,0.547739714039749
SECRETARÍA DE SALUD,4139,0.0064,aceptable,17.2,0.027811324247021693
HOSPITAL JUÁREZ DE MÉXICO,2626,0.0061,aceptable,10.1,0.2560272268131322
"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA",831,0.0059,conforme,5.2,0.7371985031494667
INSTITUTO NACIONAL DE PERINATOLOGÍA ISIDRO ESPINOSA DE LOS REYES,1816,0.0058,conforme,10.7,0.21690215547386565
"LICONSA, S.A. DE C.V.",2446,0.0054,conforme,8.7,0.36485558695048903
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",3901,0.0047,conforme,20.9,0.007351166436568836
"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",1805,0.0046,conforme,6.3,0.6096449801083824
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,11235,0.0043,conforme,30.5,0.0001726484806425714
SECRETARIA DE LA DEFENSA NACIONAL,8311,0.0041,conforme,17.8,0.023047684826932233
HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,2699,0.0035,conforme,3.4,0.9043674857115881
INSTITUTO MEXICANO DEL SEGURO SOCIAL,121949,0.0009,conforme,12.0,0.14999110590763776
