institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DBT,6,26,2008-06-06 00:00:00,2008-07-02 00:00:00,19,3395.9,"COMERCIALIZADORA DE PRODUCTOS BASICOS PARA LA SALUD S DE RL DE C (CPB080606M93, 2008-06-06 00:00:00) | KEDRION MEXICANA SA DE CV (KME080606LS5, 2008-06-06 00:00:00) | FARMACOS Y RECURSOS MATERIALES ESPECIALIZADOS SA DE CV (FRM080611MC9, 2008-06-11 00:00:00) | SERVICIOS EMPRESARIALES BLANROJ SA DE CV (SEB080617NDA, 2008-06-17 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | FARMACEUTICA ALTHOS SA DE CV (FAL080702S73, 2008-07-02 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,COORDINACIÓN DE ADQUISICIONES,4,30,1989-10-30 00:00:00,1989-11-29 00:00:00,8,1165.4,"MEDICAL DIMEGAR SA DE CV (MDI891030IH9, 1989-10-30 00:00:00) | INFRA SA DE CV (INF891031LT4, 1989-10-31 00:00:00) | ELEVADORES SCHINDLER SA DE CV (ESC8911081Q8, 1989-11-08 00:00:00) | PRODUCTOS SEREL SA DE CV (PSE891129GS1, 1989-11-29 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",DIRECCIÓN COMERCIAL,3,20,2023-01-07 00:00:00,2023-01-27 00:00:00,179,1164.2,"COMERCIALIZADORA FAMILYDUCK SA DE CV (CFA230107UC6, 2023-01-07 00:00:00) | KONKISTOLO SA DE CV (KON230118UV6, 2023-01-18 00:00:00) | BECADEHU INDUSTRIES SA DE CV (BIN230127731, 2023-01-27 00:00:00)"
"LICONSA, S.A. DE C.V.",GERENCIA DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,8,2005-08-04 00:00:00,2005-08-12 00:00:00,49,803.5,"ONG CONTRALORIA CIUDADANA PARA LA RENDICION DE CUENTAS AC (OCC050804SN6, 2005-08-04 00:00:00) | TRANSLIQUIDOS REFRIGERADOS LOPEZ SA DE CV (TRL050804AP6, 2005-08-04 00:00:00) | INSTITUTO DE LA POLICIA AUXILIAR Y PROTECCION PATRIMONIAL PARA E (IPA0508126H7, 2005-08-12 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,"UNIDAD DE ADMINISTRACIÓN Y FINANZAS, COORDINACIÓN DE SERVICIOS GENERALES",3,21,2011-06-13 00:00:00,2011-07-04 00:00:00,4,692.9,"GOBERNANZA, DESARROLLO Y TRANSPARENCIA INSTITUCIONAL AC (ATF1106136H7, 2011-06-13 00:00:00) | INTELLIGENCE ADVANCE NANOTECHNOLOGY SA DE CV (IAN110630QY9, 2011-06-30 00:00:00) | PROCESADORA Y DISTRIBUIDORA LOS CHANEQUES SA DE CV (PDC110704EI1, 2011-07-04 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,JEFATURA DE SERVICIOS DE ADQUISICION DE MATERIAL DE CURACION,4,9,2010-06-21 00:00:00,2010-06-30 00:00:00,7,670.4,"ISA HEALTH SA DE CV (IHE100621C38, 2010-06-21 00:00:00) | SOLAR MEDICAL SA DE CV (SME100621IG8, 2010-06-21 00:00:00) | SOLUCIONES EN LIDERAZGO FARMACEUTICO SA DE CV (SLF1006265D1, 2010-06-26 00:00:00) | SUMINISTROS MEDICOS DE MEXICO SA DE CV (SMM1006305X7, 2010-06-30 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DSI,4,23,2010-04-05 00:00:00,2010-04-28 00:00:00,59,626.8,"SOLUCIONES TECNOLOGICAS MEDICAS SA DE CV (STM100405IH9, 2010-04-05 00:00:00) | IGSA MEDICAL SERVICES SA DE CV (IMS1004145W0, 2010-04-14 00:00:00) | UNIDAD RENAL DE ZAMORA SC (URZ100420548, 2010-04-20 00:00:00) | ESTERINOVA PUEBLA SA DE CV (EPU1004283M2, 2010-04-28 00:00:00)"
"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",DIRECCION GENERAL,4,29,2012-02-07 00:00:00,2012-03-07 00:00:00,6,626.1,"GRUPO FARMACEUTICO SIGMUN SA DE CV (GFS120207M65, 2012-02-07 00:00:00) | CIENTIFICA POA SA DE CV (CPO1202228G4, 2012-02-22 00:00:00) | COMERCIALIZADORA DE EMPAQUES RALI SA DE CV (CER120307K92, 2012-03-07 00:00:00) | DISTRIBUCIONES CIENTIFICAS JVC SA DE CV (DCJ1203071T7, 2012-03-07 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA DE U.O.TUXTLA ABASTO,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,128,530.5,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,SUBDIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES,6,15,2004-07-06 00:00:00,2004-07-21 00:00:00,147,501.2,"EXELTIS PHARMA MEXICO SA DE CV (LEM040706KQ1, 2004-07-06 00:00:00) | KABLA COMERCIAL SA DE CV (KCO040707BB5, 2004-07-07 00:00:00) | NOVO NORDISK MEXICO SA DE CV (NNM040713CM7, 2004-07-13 00:00:00) | INSTITUTO NACIONAL DE MEDICINA GENOMICA (INM0407193Q5, 2004-07-19 00:00:00) | EVOLUTION PROCES SA DE CV (EPR040720395, 2004-07-20 00:00:00) | ABALAT SA DE CV (ABA040721TS9, 2004-07-21 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",CENTRO SCT SAN LUIS POTOSI,3,19,2014-11-12 00:00:00,2014-12-01 00:00:00,5,416.3,"ICAPSA INFRAESTRUCTURA DE DESARROLLO SA DE CV (IID141112C80, 2014-11-12 00:00:00) | CONSTRUCCION Y CONTROL INTEGRAL SUPEMEX SA DE CV (CCI141113HM8, 2014-11-13 00:00:00) | CONSULTORIA, GESTION Y PLANIFICACION AMBIENTAL SA DE CV (CGP141201E50, 2014-12-01 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,SUBDIRECCION DE CONSERVACION Y MANTENIMIENTO,4,29,2015-06-02 00:00:00,2015-07-01 00:00:00,11,405.4,"FIT ENERGY SA DE CV (FEN1506027Y3, 2015-06-02 00:00:00) | INGENIERIA ESPECIALIZADA EN ELECTRICIDAD Y MECANICA INDUSTRIAL S (IEE150615IP3, 2015-06-15 00:00:00) | CB BIOINGENIERIA EN SALUD SA DE CV (CAP150630LLA, 2015-06-30 00:00:00) | PHILIPS MEXICO COMMERCIAL SA DE CV (PMC1507018K6, 2015-07-01 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,JEFATURA DE SERVICIOS ADMINISTRATIVOS,7,24,2005-04-04 00:00:00,2005-04-28 00:00:00,69,404.8,"WAWACHAY Y ESTANCIA INFANTIL SC (WEI050404B58, 2005-04-04 00:00:00) | CENTRO DE ESTIMULACION TEMPRANA HENRI WALLON AC (CET050406AX0, 2005-04-06 00:00:00) | ESTANCIAS INFANTILES DE BAJA CALIFORNIA SC (EIB0504078V7, 2005-04-07 00:00:00) | FORMACION Y CRECIMIENTO SC (FCR050407HR4, 2005-04-07 00:00:00) | EDUCACION RECREATIVA SC (ERE050411EY5, 2005-04-11 00:00:00) | COMERCIALIZADORA ARVIEN SA DE CV (CAR050418677, 2005-04-18 00:00:00) | INSTITUTO OTOLOGICO MONTERREY SA DE CV (IOM050428UL8, 2005-04-28 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,853,398.9,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | HARINAS SA DE CV (HAR811207KX1, 1981-12-07 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DEMM,4,24,2021-10-19 00:00:00,2021-11-12 00:00:00,40,331.7,"BIOCARE SYSTEMS SAS DE CV (BSY211019HY8, 2021-10-19 00:00:00) | VITASOF SA DE CV (VIT2110269F9, 2021-10-26 00:00:00) | MUEBLES LA FORJA DE JUAN ESCOBAR SA DE CV (MFJ211104KC4, 2021-11-04 00:00:00) | MARO HEALTH SA DE CV (MHE211112IU3, 2021-11-12 00:00:00)"
SECRETARIA DE LA DEFENSA NACIONAL,SUBDIRECCIÓN DE ADQUISICIONES,15,29,2016-06-07 00:00:00,2016-07-06 00:00:00,62,304.4,"FIRE-SHOP DE MEXICO SA DE CV (FME160607BL4, 2016-06-07 00:00:00) | GADMAR SA DE CV (GAD160607P50, 2016-06-07 00:00:00) | AUTO COMERCIAL SANTA FE SA DE CV (ACS160610SSA, 2016-06-10 00:00:00) | ALPHA TECMOLD GROUP S DE RL DE CV (ATG1606104B9, 2016-06-10 00:00:00) | T3 S TECNOLOGIAS MEXICO SA DE CV (TST160610PK7, 2016-06-10 00:00:00) | ALUR TEK SA DE CV (ATE1606112E3, 2016-06-11 00:00:00) | AXANA SALUD OCUPACIONAL SA DE CV (ASO160613UT8, 2016-06-13 00:00:00) | RLMX TECNOLOGIA Y MATERIALES SA DE CV (RTM160614J53, 2016-06-14 00:00:00) | DAVINCI TECNOLOGIA SA DE CV (DTE160615QL5, 2016-06-15 00:00:00) | HOPLA SOFTWARE MEXICO SA DE CV (HSM160622PZ0, 2016-06-22 00:00:00) | BIOGINEMED SA DE CV (BIO160624QM4, 2016-06-24 00:00:00) | SERVICIOS EMPRESARIALES POWIX SA DE CV (SEP1607048C2, 2016-07-04 00:00:00) | ABASTECEDORA DE METALES Y ACEROS RIV SA DE CV (AMA1607051IA, 2016-07-05 00:00:00) | AVACOR SA DE CV (AVA160705TR2, 2016-07-05 00:00:00) | ABR CRIMINALISTICA SUMINISTROS Y SERVICIOS PERICIALES SC (ACS160706T58, 2016-07-06 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA POZA RICA, ABASTO",3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,100,299.8,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
COMISION NACIONAL DEL AGUA,GERENCIA DE RECURSOS MATERIALES,3,9,2000-03-28 00:00:00,2000-04-06 00:00:00,4,297.5,"GRUPO CONSULTOR DE ARQUITECTURA E INGENIERIA SA DE CV (GCA0003285BA, 2000-03-28 00:00:00) | BOMBAS SUAREZ SA DE CV (BSU000404GJ7, 2000-04-04 00:00:00) | FAGORI CONSTRUCCIONES SA DE CV (FCO000406NL8, 2000-04-06 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIONAL OAXACA,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,212,254.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO NACIONAL DE LA INFRAESTRUCTURA FISICA EDUCATIVA,SUBGERENCIA DE PRESUPUESTOS Y CONTRATACION,4,0,2018-03-05 00:00:00,2018-03-05 00:00:00,7,253.3,"BALANCE ECOURBANISMO Y MANEJO DE RESIDUOS SA DE CV (BEM180305PM1, 2018-03-05 00:00:00) | ECO-BALANCE ESPACIOS URBANOS SOSTENIBLES SA DE CV (EEU180305H60, 2018-03-05 00:00:00) | INGENIERIA Y ARQUITECTURA KARDAN SA DE CV (IAK180305T88, 2018-03-05 00:00:00) | NICHO SUSTENTABILIDAD URBANA SA DE CV (NSU1803052D0, 2018-03-05 00:00:00)"
SECRETARIA DE INFRAESTRUCTURA Y OBRAS PÚBLICAS,UNIDAD DE LICITACIONES,7,24,2019-02-06 00:00:00,2019-03-02 00:00:00,13,247.2,"CONSTRUCTORA CARIPE SA DE CV (CCA190206NR1, 2019-02-06 00:00:00) | CONCRETOS DEL GOLFO NORMAR SA DE CV (CGN190206I16, 2019-02-06 00:00:00) | TECHNOLOGY APPLIED TRANSNORTH SA DE CV (TAT190206KJ8, 2019-02-06 00:00:00) | GRUPO ESPECIALIZADO RUTA BOCA SA DE CV (GER1902147Y8, 2019-02-14 00:00:00) | GRUPPE FREUNDE SA DE CV (GFR1902142ZA, 2019-02-14 00:00:00) | CHEVALIER CONSTRUCTORA SA DE CV (CCO1902157F1, 2019-02-15 00:00:00) | PBA & CIVILES Y ASOCIADOS SA DE CV (PAC190302L14, 2019-03-02 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO, DELEGACION NORTE DEL DISTRITO FEDERAL",5,26,2001-08-29 00:00:00,2001-09-24 00:00:00,24,238.9,"MEDIPLAS SA DE CV (MED010829R9A, 2001-08-29 00:00:00) | SERVICIOS MEDICOS Y TECNICOS SA DE CV (SMT010905FL0, 2001-09-05 00:00:00) | CENTRO DE ESTUDIOS PRITAL SC (CEP010912I41, 2001-09-12 00:00:00) | MEDICAMENTOS EXCLUSIVOS SA DE CV (MEX010913Q41, 2001-09-13 00:00:00) | SERVICIOS INTEGRALES PROINFANCIA SC (SIP010924EC0, 2001-09-24 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIONAL PENINSULAR,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,204,238.7,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA SAN LUIS POTOSÍ, SUBGERENCIA DE LA UNIDAD OPERATIVA",4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,213,217.6,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIONAL GOLFO,4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,247,207.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA GUERRERO - ABASTO,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,132,201.6,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,17,28,2020-07-01 00:00:00,2020-07-29 00:00:00,483,190.2,"SIIASE SOPORTE SA DE CV (SSO200701I61, 2020-07-01 00:00:00) | LARODI PHARMA SA DE CV (LPH2007026H0, 2020-07-02 00:00:00) | SERVICIOS DE FUMIGACION DEL CORTES SA DE CV (SFC200702U28, 2020-07-02 00:00:00) | PHARMACEUTICA MARLEX SA DE CV (PMA200707CB6, 2020-07-07 00:00:00) | SANCOR COMERCIALIZADORA DE MATERIALES DE CURACION E INSUMOS PARA (SCM2007074T1, 2020-07-07 00:00:00) | DIANMA SOLUTIONS SA DE CV (DSO200708M27, 2020-07-08 00:00:00) | SOLOGMEDIC SA DE CV (SOL200713KR0, 2020-07-13 00:00:00) | AMASALUD S DE RL (AMA200715MW6, 2020-07-15 00:00:00) | CENTRO INTERNACIONAL DE CAPACITACION CODIGO AZUL SAS DE CV (CIC200716185, 2020-07-16 00:00:00) | SAGO MEDICAL SERVICE SA DE CV (SMS200716NZ4, 2020-07-16 00:00:00) | SOLUCIONES INTEGRALES EN MANTENIMIENTO INDUSTRIAL SIMTECH SA DE (SIM200717PA3, 2020-07-17 00:00:00) | DISTRIBUIDORA POTOSINA BIOFAR SA DE CV (DPB200720KG4, 2020-07-20 00:00:00) | CELLEX MEDICAMENTOS S DE RL DE CV (CME200722RVA, 2020-07-22 00:00:00) | AMG PHARMA MEXICO SA DE CV (APM200727JP6, 2020-07-27 00:00:00) | METZ SOPORTES TECNICOS SA DE CV (MST2007287H8, 2020-07-28 00:00:00) | BERMENS MEDICAL SA DE CV (BME2007294Y5, 2020-07-29 00:00:00) | INMEDICAL SOLUCIONES EN SALUD SA DE CV (ISS20072952A, 2020-07-29 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,COORDINACIÓN DE SERVICIOS DE ADMINISTRACIÓN,5,28,2010-09-30 00:00:00,2010-10-28 00:00:00,11,187.8,"SINERGIA MULTIPLE EMPRESARIAL SA DE CV (SME100930B76, 2010-09-30 00:00:00) | SERVICIOS INTEGRADOS TECNOLOGICOS DE LA SALUD MORGER SA DE CV (SIT101005KS4, 2010-10-05 00:00:00) | MEDICAL ADVANCED SUPPLIES SA DE CV (MAS101012CC9, 2010-10-12 00:00:00) | HUMAN CORPORIS SA DE CV (HCO1010227G1, 2010-10-22 00:00:00) | GRUPO MULTISERVICIOS ALCAR SA DE CV (GMA101028AY4, 2010-10-28 00:00:00)"
INSTITUTO DE SALUD PUBLICA DEL ESTADO DE GUANAJUATO,DIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,29,1989-10-31 00:00:00,1989-11-29 00:00:00,6,176.6,"INFRA SA DE CV (INF891031LT4, 1989-10-31 00:00:00) | ELEVADORES SCHINDLER SA DE CV (ESC8911081Q8, 1989-11-08 00:00:00) | PRODUCTOS SEREL SA DE CV (PSE891129GS1, 1989-11-29 00:00:00)"
"AEROPUERTO INTERNACIONAL FELIPE ÁNGELES, S.A DE C.V.",SUBDIRECCIÓN DE RECURSOS MATERIALES,3,29,2008-11-20 00:00:00,2008-12-19 00:00:00,7,166.8,"ACMES, AGENTE DE SEGUROS Y DE FIANZAS SA DE CV (AAS0811201U2, 2008-11-20 00:00:00) | IGSA SA DE CV (IGS081218LI4, 2008-12-18 00:00:00) | FUNDACION EDUCACION SUPERIOR-EMPRESA AC (FES081219HD3, 2008-12-19 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIONAL SURESTE,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,65,160.4,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA DURANGO, ABASTO",4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,352,150.9,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | HARINAS SA DE CV (HAR811207KX1, 1981-12-07 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
SECRETARÍA DE SALUD,DIRECCIÓN ADMINSITRATIVA,3,13,2013-08-06 00:00:00,2013-08-19 00:00:00,4,146.1,"CITESCO SOLUTIONS SA DE CV (CSO130806638, 2013-08-06 00:00:00) | MENDELAB SA DE CV (MEN130807T11, 2013-08-07 00:00:00) | FARMACOS DAROVI SA DE CV (FDA130819JI3, 2013-08-19 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORD DE ABAST Y EQ DELEG NUEVO LEON,5,8,2018-06-18 00:00:00,2018-06-26 00:00:00,53,145.1,"CYRUZ SA DE CV (CYR180618NG3, 2018-06-18 00:00:00) | MEDISULT SA DE CV (MED180619DS0, 2018-06-19 00:00:00) | COMERCIALIZADORA DE SUMINISTROS MEDICOS Y MEDICAMENTOS CUMBRES S (CSM180620IA7, 2018-06-20 00:00:00) | SOLUCIONES SALUDABLES MTY S DE RL DE CV (SSM180620S18, 2018-06-20 00:00:00) | DISTRIBUIDORA DE MEDICAMENTOS DISTRUMED SA DE CV (DMD180626NQ1, 2018-06-26 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","GERENCIA REGIONAL HIDALGO, SUBGERENCIA DE ABASTO",4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,90,142.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
SERVICIOS DE SALUD DE OAXACA,UNIDAD DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,6,2012-02-07 00:00:00,2012-02-13 00:00:00,6,136.9,"GRUPO FARMACEUTICO SIGMUN SA DE CV (GFS120207M65, 2012-02-07 00:00:00) | COMPUTADORAS Y ACCESORIOS TERASUR SA DE CV (CAT120211Q8A, 2012-02-11 00:00:00) | SURTIDOR DE MATERIALES HOSPITALARIOS, MEDICINALES Y QUIRURGICOS (SMH120213S47, 2012-02-13 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPARTAMENTO DE ADQUISICION DE BIENES Y CONTRATACION DE SERVICIOS,14,29,2018-10-02 00:00:00,2018-10-31 00:00:00,151,134.4,"ADVANCED STERILIZATION S DE RL DE CV (AST181002V20, 2018-10-02 00:00:00) | CONSEGLOB SA DE CV (CON181004G7A, 2018-10-04 00:00:00) | COCON COCINA Y ASEO SA DE CV (CCA181009H34, 2018-10-09 00:00:00) | CLINICA OFTALMOLOGICA LA SALUD SC (COS181010RL7, 2018-10-10 00:00:00) | INDUSTRIAS YARVA SA DE CV (IYA181010793, 2018-10-10 00:00:00) | AZTEC MEDIC SA DE CV (AME181017JV4, 2018-10-17 00:00:00) | CAF HEALTHCARE SYSTEMS SA DE CV (CHS1810172P3, 2018-10-17 00:00:00) | COMERCIALIZADORA LEALCA SA DE CV (CLE181018KH3, 2018-10-18 00:00:00) | TALLER AUTOMOTRIZ EL GUAMUCHILITO SA DE CV (TAG1810195Y3, 2018-10-19 00:00:00) | LUMAFESA S DE RL DE CV (LUM181029255, 2018-10-29 00:00:00) | MULTISERVICIOS CASUR SA DE CV (MCA1810292Q3, 2018-10-29 00:00:00) | MAKORP SA DE CV (MAK181030692, 2018-10-30 00:00:00) | B2B DE TOLUCA SA DE CV (BTO1810314P8, 2018-10-31 00:00:00) | DISTRIBUIDORA MEDICA Y HOSPITALARIA LUJO DEL EDEN SA DE CV (DMH181031KC0, 2018-10-31 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","SUBGERENCIA REGIONAL NOROESTE, UNIDAD OPERATIVA CULIACÁN",3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,133,131.7,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,COORDINACION NACIONAL DE RECURSOS MATERIALES Y SERVICIOS,4,29,2015-04-14 00:00:00,2015-05-13 00:00:00,68,130.2,"GRUPO DE SEGURIDAD PRIVADA PRYSE DE MEXICO SA DE CV (GSP150414MPA, 2015-04-14 00:00:00) | DESARROLLO E INNOVACION BROMO SA DE CV (DIB150420FC3, 2015-04-20 00:00:00) | TECNODARS SA DE CV (TEC150428H73, 2015-04-28 00:00:00) | SISTEMAS MULTIDIRECCIONALES SM8 DE MEXICO SA DE CV (SMS1505137Y3, 2015-05-13 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIONAL PUEBLA,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,78,129.1,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,DIRECCIÓN DE INFRAESTRUCTURA CARRETERA,5,30,2008-01-08 00:00:00,2008-02-07 00:00:00,14,128.1,"RL INFRAESTRUCTURA SA DE CV (RIN080108PU9, 2008-01-08 00:00:00) | LORDANELI CONSULTORIA E INGENIERIA SA DE CV (LCI080111149, 2008-01-11 00:00:00) | RT4 MEXICO SA DE CV (CCM080116R30, 2008-01-16 00:00:00) | SISTEMAS AVANZADOS EN INGENIERIA CIVIL SA DE CV (SAI080124685, 2008-01-24 00:00:00) | INGENIERIA APLICADA A SUPERVISION Y PROYECTOS DE OBRA INASPO SA (IAA080207J26, 2008-02-07 00:00:00)"
COMISIÓN ESTATAL DE CAMINOS,DIRECCION DE CONTRATOS Y ESTIMACIONES,3,14,2009-02-27 00:00:00,2009-03-13 00:00:00,5,127.1,"GRUPO CONSTRUCTOR CYGNY SA DE CV (GCM090227571, 2009-02-27 00:00:00) | TORRES Y VELAZQUEZ INGENIEROS CIVILES SA DE CV (TVI0902272Y2, 2009-02-27 00:00:00) | INFRAESTRUCTURA SOSTENIBLE DAMARZO SA DE CV (ISD090313D65, 2009-03-13 00:00:00)"
