institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL DE GINECO PEDIATRIA UMAE NO 48,6,21,2019-11-20 00:00:00,2019-12-11 00:00:00,25,1.7,"GAMBARS DISTRIBUIDORA SA DE CV (GDI191120Q58, 2019-11-20 00:00:00) | INSUMOS Y SERVICIOS NUI SA DE CV (ISN191121KL7, 2019-11-21 00:00:00) | SOLUCIONES ESTRATEGICAS YAZALBEN SA DE CV (SEY1911214F2, 2019-11-21 00:00:00) | GRUPO EMPRESARIAL DIMAJU SAS DE CV (GED191204EA9, 2019-12-04 00:00:00) | DISTRIBUIDORA Y LOGISTICA NENUFAR SA DE CV (DLN191210U88, 2019-12-10 00:00:00) | QUO MEDICAL S DE RL DE CV (QME191211K83, 2019-12-11 00:00:00)"
COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE TABASCO,DIRECCIÓN FINANCIERA,3,21,2019-07-19 00:00:00,2019-08-09 00:00:00,10,1.6,"COMERCIALIZADORA Y ARRENDADORA ORDOZA SA DE CV (CAO1907196P2, 2019-07-19 00:00:00) | CORPORATIVO RAJ DEL SURESTE SA DE CV (CRS190805SK8, 2019-08-05 00:00:00) | LERRETI SA DE CV (LER190809J40, 2019-08-09 00:00:00)"
"INSTITUTO DE INVESTIGACIONES ""DR. JOSE MARIA LUIS MORA""",DIR. ADMON. Y FINANZAS - DEPARTAMENTO DE RECURSOS MATERIALES Y SERVICIOS GENERALES,4,30,2013-03-04 00:00:00,2013-04-03 00:00:00,8,1.6,"SISMOTECNIA E INGENIERIA SA DE CV (SEI130304711, 2013-03-04 00:00:00) | DE ANDA, TORRES, GALLARDO Y CIA SC DE RL DE CV (ATG130312QPA, 2013-03-12 00:00:00) | DESARROLLO EN PROTECCION CIVIL ZONA CENTRO SA DE CV (DPC1303214B2, 2013-03-21 00:00:00) | GRUPO LERIS SA DE CV (GLE130403KH3, 2013-04-03 00:00:00)"
UNIVERSIDAD ABIERTA Y A DISTANCIA DE MEXICO,COORDINACION DE PLANEACION ESTRATEGICA Y EVALUACION UNIVERSITARIA,3,22,2017-02-07 00:00:00,2017-03-01 00:00:00,4,1.6,"IDEAS CREATIVAS DE EVENTOS INTERACTIVOS SA DE CV (ICF170207G1A, 2017-02-07 00:00:00) | MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | BIBLIORION SA DE CV (BIB1703017K9, 2017-03-01 00:00:00)"
INSTITUTO NACIONAL DE PEDIATRÍA,SUBDIRECCION DE SERVICIOS GENERALES,3,30,1999-05-29 00:00:00,1999-06-28 00:00:00,4,1.5,"INVESTIGACION EN SALUD Y DEMOGRAFIA SC (ISD990529LA5, 1999-05-29 00:00:00) | SEIB SA DE CV (SEI9906233W3, 1999-06-23 00:00:00) | COMERCIALIZADORA BIOINDUSTRIAL SA DE CV (CBI990628BM9, 1999-06-28 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,COORDINACION DE RECURSOS MATERIALES,3,22,2010-11-09 00:00:00,2010-12-01 00:00:00,11,1.5,"PRESEFA SA DE CV (PRE1011099W5, 2010-11-09 00:00:00) | HIELO PURIFICADO OLYMPIA S DE RL DE CV (HPO101201JWA, 2010-12-01 00:00:00) | PROFESIONISTAS UNIDOS DEL PACIFICO SC (PUP101201UK3, 2010-12-01 00:00:00)"
"LICONSA, S.A. DE C.V.",GERENCIA METROPOLITANA SUR,3,23,2021-04-19 00:00:00,2021-05-12 00:00:00,6,1.5,"AINOVAR SOLUCIONES COMERCIALES SA DE CV (ASC210419797, 2021-04-19 00:00:00) | AKEN & CEO SA DE CV (AAC2104273C5, 2021-04-27 00:00:00) | SOLUCIONES ZIBA SAS DE CV (SZI210512LB3, 2021-05-12 00:00:00)"
CONSEJO NACIONAL DE FOMENTO EDUCATIVO,"DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",5,19,2009-05-29 00:00:00,2009-06-17 00:00:00,8,1.5,"CRONO DESARROLLO DE INGENIERIA SA DE CV (CDD090529HW3, 2009-05-29 00:00:00) | LULUCAT CORPORATION MEXICO SA DE CV (LCM090604SY9, 2009-06-04 00:00:00) | ASELEGS SA DE CV (ASE090612TR4, 2009-06-12 00:00:00) | PROVEEDORA DE LLANTAS Y EQUIPOS S DE RL DE CV (PLE090615IP5, 2009-06-15 00:00:00) | GRUPO ROMAY SA DE CV (GRO090617MK7, 2009-06-17 00:00:00)"
"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",DIRECCION DE ADMINISTRACION Y FINANZAS,3,23,2000-01-03 00:00:00,2000-01-26 00:00:00,8,1.5,"FEI TECHNOLOGY DE MEXICO SA DE CV (CPB000103D78, 2000-01-03 00:00:00) | ECOSPHERE SA DE CV (ECO000104BS0, 2000-01-04 00:00:00) | SATELSA SA DE CV (SAT000126A43, 2000-01-26 00:00:00)"
COLEGIO DE BACHILLERES,UNIDAD DE ADMINISTRACION Y FINANZAS,3,29,2004-11-15 00:00:00,2004-12-14 00:00:00,4,1.5,"FORMAS EFICIENTES SA DE CV (FEF041115HF6, 2004-11-15 00:00:00) | COMERCIALIZADORA MUNRRO SA DE CV (CMU041122GN8, 2004-11-22 00:00:00) | MOORE OROZCO MEDINA SC (MSO041214E7A, 2004-12-14 00:00:00)"
"BANCO DEL BIENESTAR S.N.C., I.B.D.",DIRECCIÓN DE RECURSOS MATERIALES,3,14,2007-01-11 00:00:00,2007-01-25 00:00:00,4,1.4,"LA CRONICA DIARIA SA DE CV (CDI070111F89, 2007-01-11 00:00:00) | CARICATURAS, INTERNET, ANIMACIONES Y REVISTAS SA DE CV (CIA070123FD0, 2007-01-23 00:00:00) | RED DE RADIOS COMUNITARIAS DE MEXICO AC (RRC070125LI5, 2007-01-25 00:00:00)"
INSTITUTO NACIONAL DE PERINATOLOGÍA ISIDRO ESPINOSA DE LOS REYES,SUBDIRECCIÓN DE RECURSOS MATERIALES Y CONSERVACIÓN,4,27,1997-10-14 00:00:00,1997-11-10 00:00:00,8,1.4,"SCHWABE MEXICO SA DE CV (SME971014PD5, 1997-10-14 00:00:00) | DL MEDICA SA DE CV (DME971017FZ7, 1997-10-17 00:00:00) | NOVARTIS FARMACEUTICA SA DE CV (NFA971101EDA, 1997-11-01 00:00:00) | GRUPO MEXICANO DE SEGUROS SA DE CV (GMS971110BTA, 1997-11-10 00:00:00)"
SECRETARÍA DE OBRAS Y SERVICIOS,DIRECCION GENERAL DE CONSTRUCCION DE OBRAS PÚBLICAS,3,22,2019-06-18 00:00:00,2019-07-10 00:00:00,3,1.4,"GEOESTUDIOS CINCOSOL SA DE CV (GCI190618LI5, 2019-06-18 00:00:00) | PADHIESA SA DE CV (PAD1906256W1, 2019-06-25 00:00:00) | SHAJESA CONSTRUCCIONES SA DE CV (SCO190710K17, 2019-07-10 00:00:00)"
INSTITUTO CHIHUAHUENSE DE SALUD,DEPARTAMENTO DE ADQUISICIONES Y RECURSOS MATERIALES,3,22,2011-09-29 00:00:00,2011-10-21 00:00:00,3,1.4,"COMERCIALIZADORA DE MULTIPLES PRODUCTOS ZAGAL SA DE CV (CMP1109292S1, 2011-09-29 00:00:00) | ROPA DESECHABLE DE MEXICO S DE RL DE CV (RDD111007FS9, 2011-10-07 00:00:00) | SUMINISTROS HOSPITALARIOS DIMAC SA DE CV (SHD1110215Z5, 2011-10-21 00:00:00)"
